"PropertyID - Yardi Number","Web Property ID - Yardi Number","Residence","Yardi Care Level","Marketing Care Level","Yardi Suite Type Description","Web SuiteTitle","Regular SuitePrice","PromotionPrice","Start Date","End Date","ltc"
"11263","11263","Allandale Station","AL","AL","Studio with kitchenette","studio","7647",,"","",
"11263","11263","Allandale Station","ISL","IL","1 Bedroom + Den with kitchenette","1bed-and-den","7211",,"","",
"11263","11263"," Allandale Station","ISL","IL","1 bedroom with kitchenette","1bed","5801",,"","",
"11263","11263"," Allandale Station","ISL","IL","2 bedrooms with kitchenette","2bed","7676",,"","",
"11263","11263"," Allandale Station","ISL","IL","Studio with kitchenette","studio","4311",,"","",
"11015","11015"," Anne Hathaway","ISL","IL","1 bedroom with no kitchen","1bed","5806",,"","",
"11015","11015"," Anne Hathaway","ISL","IL","Studio with no kitchen","studio","4256",,"","",
"11119","11119"," Appartements de Bordeaux","ISL","IL","1 Chambre avec cuisine","1bed","3125",,"","",
"11119","11119"," Appartements de Bordeaux","ISL","IL","2 chambres avec cuisine","2bed","3460",,"","",
"11119","11119"," Appartements de Bordeaux","ISL","IL","3 chambres avec cuisine","3beds","6230",,"","",
"11138","11138"," Avondale","ISL","IL","1 bedroom with no kitchen","1bed","5506",,"","",
"11138","11138"," Avondale","ISL","IL","Studio with no kitchen","studio","3990",,"","",
"11264","11264"," Balmoral","AL","AL","Studio with kitchenette","studio","8021",,"","",
"11264","11264"," Balmoral","ISL","IL","1 Bedroom + Den with kitchenette","1bed-and-den","6681",,"","",
"11264","11264"," Balmoral","ISL","IL","1 bedroom with kitchenette","1bed","5741",,"","",
"11264","11264"," Balmoral","ISL","IL","2 bedrooms with kitchenette","2bed","7431",,"","",
"11264","11264"," Balmoral","ISL","IL","Studio with kitchenette","studio","4941",,"","",
"11264","11264"," Balmoral Apartments","IL","SA","1 Bedroom + Den with full kitchen","1bed-and-den","4245",,"","",
"11264","11264"," Balmoral Apartments","IL","SA","1 bedroom with full kitchen","1bed","3895",,"","",
"11264","11264"," Balmoral Apartments","IL","SA","2 bedrooms with full kitchen","2bed","4755",,"","",
"11094","11094"," Bankside","ISL","IL","1 bedroom with no kitchen","1bed","4606",,"","",
"11094","11094"," Bankside","ISL","IL","Studio with no kitchen","studio","3151",,"","",
"11214","11094"," Bankside Seniors Apartments","IL","SA","1 Bedroom + Den with full kitchen","1bed-and-den","3349",,"","",
