"ItemName","ItemId","RenderingName","RenderingPh","RenderingDS","RenderingId"
"Home","{70B00559-62EC-45A5-82B5-8886A81F0810}","CareersMetaDataBlock","headless-main","/sitecore/content/headapps/career/Home","{A26AA55C-6CB4-44EC-8B81-4D0CB7CB2E20}"
"Home","{70B00559-62EC-45A5-82B5-8886A81F0810}","HeroSection","headless-main","local:/Data/HeroSection","{B78678AA-202B-49A8-801A-9D118E38DD3F}"
"Home","{70B00559-62EC-45A5-82B5-8886A81F0810}","TextOnlyBlock","headless-main","local:/Data/IntroParagraphBlock","{6C736AA5-6C2C-4644-A0E8-A3F28AFB1ABC}"
"Home","{70B00559-62EC-45A5-82B5-8886A81F0810}","Tiles","headless-main","local:/Data/JobAreasTiles","{299A7406-16E3-4492-AB69-6E477E8FBB7C}"
"Home","{70B00559-62EC-45A5-82B5-8886A81F0810}","SuiteMedia","headless-main","local:/Data/VladVideo","{72F9119E-433E-4336-ABC5-8E49350FFF98}"
"Home","{70B00559-62EC-45A5-82B5-8886A81F0810}","HeroSectionTextOnly","headless-main","local:/Data/ApplyForAJobCTA","{49398A34-B96B-4989-AAE6-3A8F2B313225}"
"Home","{70B00559-62EC-45A5-82B5-8886A81F0810}","TextOnlyBlock","headless-main","local:/Data/Job Areas","{6C736AA5-6C2C-4644-A0E8-A3F28AFB1ABC}"
"Home","{70B00559-62EC-45A5-82B5-8886A81F0810}","ImageTextData","headless-main","local:/Data/JobAreaTextImageNursing","{48E421A1-F855-4DD2-804F-1C936BF9E4DA}"
"Home","{70B00559-62EC-45A5-82B5-8886A81F0810}","ImageTextData","headless-main","local:/Data/JobAreaTextImageCare","{48E421A1-F855-4DD2-804F-1C936BF9E4DA}"
"Home","{70B00559-62EC-45A5-82B5-8886A81F0810}","ImageTextData","headless-main","local:/Data/JobAreaTextImageFoodBeverage","{48E421A1-F855-4DD2-804F-1C936BF9E4DA}"
"Home","{70B00559-62EC-45A5-82B5-8886A81F0810}","ImageTextData","headless-main","local:/Data/JobAreaTextImageMaintenanceHousekeeping","{48E421A1-F855-4DD2-804F-1C936BF9E4DA}"
"Home","{70B00559-62EC-45A5-82B5-8886A81F0810}","ImageTextData","headless-main","local:/Data/JobAreaTextImageLifeEnrichment","{48E421A1-F855-4DD2-804F-1C936BF9E4DA}"
"Home","{70B00559-62EC-45A5-82B5-8886A81F0810}","ImageTextData","headless-main","local:/Data/JobAreaTextImageManagementAdmin","{48E421A1-F855-4DD2-804F-1C936BF9E4DA}"
"Home","{70B00559-62EC-45A5-82B5-8886A81F0810}","ImageTextData","headless-main","local:/Data/JobAreaTextImageSales","{48E421A1-F855-4DD2-804F-1C936BF9E4DA}"
"Home","{70B00559-62EC-45A5-82B5-8886A81F0810}","TextOnlyBlock","headless-main","local:/Data/CorporateVolunteerStudentsBlock","{6C736AA5-6C2C-4644-A0E8-A3F28AFB1ABC}"
"Home","{70B00559-62EC-45A5-82B5-8886A81F0810}","TextOnlyBlock","headless-main","local:/Data/RecruitmentProcessBlock","{6C736AA5-6C2C-4644-A0E8-A3F28AFB1ABC}"
"404","{C6D97288-8249-434A-8800-2AEBBE8DFCF6}","TextOnlyBlock","headless-main","local:/Data/TextDataSectionBlock","{6C736AA5-6C2C-4644-A0E8-A3F28AFB1ABC}"
"working-at-chartwell","{0A72AC7B-79CD-449F-A622-41257FBAAED1}","HeroSectionTextOnly","headless-main","local:/Data/HeroSectionTextOnly","{49398A34-B96B-4989-AAE6-3A8F2B313225}"
"working-at-chartwell","{0A72AC7B-79CD-449F-A622-41257FBAAED1}","TextOnlyBlock","headless-main","local:/Data/PageTitle","{6C736AA5-6C2C-4644-A0E8-A3F28AFB1ABC}"
"working-at-chartwell","{0A72AC7B-79CD-449F-A622-41257FBAAED1}","TextOnlyBlock","headless-main","local:/Data/IntroParagraphBlock","{6C736AA5-6C2C-4644-A0E8-A3F28AFB1ABC}"
"working-at-chartwell","{0A72AC7B-79CD-449F-A622-41257FBAAED1}","TextCarousel","headless-main","local:/Data/TextCarousel","{4F10CEBE-854E-495E-B054-03BB635EE841}"
"working-at-chartwell","{0A72AC7B-79CD-449F-A622-41257FBAAED1}","TextOnlyBlock","headless-main","local:/Data/VisionBlock","{6C736AA5-6C2C-4644-A0E8-A3F28AFB1ABC}"
"working-at-chartwell","{0A72AC7B-79CD-449F-A622-41257FBAAED1}","ImageTextData","headless-main","local:/Data/MissionBlock","{48E421A1-F855-4DD2-804F-1C936BF9E4DA}"
"working-at-chartwell","{0A72AC7B-79CD-449F-A622-41257FBAAED1}","ImageTextData","headless-main","local:/Data/ValuesBlock","{48E421A1-F855-4DD2-804F-1C936BF9E4DA}"
"working-at-chartwell","{0A72AC7B-79CD-449F-A622-41257FBAAED1}","CardsHandlerBlock","headless-main","local:/Data/BenefitsCardsHandlerBlock","{D2A33E19-0683-4212-8AB5-6854BB6415B1}"
"working-at-chartwell","{0A72AC7B-79CD-449F-A622-41257FBAAED1}","ImageTextData","headless-main","local:/Data/DiversityBlock","{48E421A1-F855-4DD2-804F-1C936BF9E4DA}"
"working-at-chartwell","{0A72AC7B-79CD-449F-A622-41257FBAAED1}","CareersMetaDataBlock","headless-main","/sitecore/content/headapps/career/Home/working-at-chartwell","{A26AA55C-6CB4-44EC-8B81-4D0CB7CB2E20}"
